SiteName	Country	Period	PhaseCode	LabCode	C14Age	C14SD	Material	MaterialSpecies	tpq	taq	Longitude	Latitude	bib	bib_url
Piano Vento	Italy	EN	Sector A9C	A-4473	5040	120	wood charcoal	n/d	-4223	-3536	13.5667	37.3167	Giannitrapani 2009	Giannitrapani09
Piano Vento	Italy	EN	Sector A10	A-4474	6130	90	wood charcoal	n/d	-5305	-4837	13.5667	37.3167	Giannitrapani 2009	Giannitrapani09
Hort en Grimau	Spain	MN	E8	A-464	5250	65	wood charcoal	n/d	-4311	-3956	1.61	41.339	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Hort en Grimau	Spain	MN	E17	A-465	5270	65	wood charcoal	n/d	-4314	-3966	1.61	41.339	Manen & Sabatier 2003	https://doi.org/10.3406/bspf.2003.12868
Font del Ros	Spain	EN	Horizonte N	AA-16498	6561	56	wood charcoal	n/d	-5622	-5385	1.845261	42.09765	Pallares et al. 1997	https://doi.org/10.3989/tp.1997.v54.i1.382
Font del Ros	Spain	EN	N E.15 (fosa)	AA-16499	6243	56	wood charcoal	n/d	-5323	-5040	1.845261	42.09765	Pallares et al. 1997	https://doi.org/10.3989/tp.1997.v54.i1.382
Font del Ros	Spain	EN	N.E. 21	AA-16500	6058	79	wood charcoal	n/d	-5211	-4788	1.845261	42.09765	Pallares et al. 1997	https://doi.org/10.3989/tp.1997.v54.i1.382
Font del Ros	Spain	EN	N E. 33 (fosa)	AA-16501	6307	68	wood charcoal	n/d	-5471	-5065	1.845261	42.09765	Pallares et al. 1997	https://doi.org/10.3989/tp.1997.v54.i1.382
Font del Ros	Spain	EN	N E. 36 (fosa)	AA-16502	6370	57	wood charcoal	n/d	-5474	-5218	1.845261	42.09765	Pallares et al. 1997	https://doi.org/10.3989/tp.1997.v54.i1.382
Turo de Can Bellsola	Spain	EN	TCB-4	AA-19187	6250	80	wood charcoal	n/d	-5462	-4997	2.179214	41.535439	Morales et al. 2010	https://doi.org/10.3989/tp.2014.12128
Blagnat	France	MN	n/a	AA-21721	5095	70	wood charcoal	n/d	-4044	-3662	5.003327	44.848902	Saintot 2002	Saintot02
Abric de la Falguera	Spain	LM	Phase VIII	AA-2295	7410	70	plant seed	Olea sp.	-6419	-6087	-0.5881	38.6662	Garcia Puchol et al. 2009	https://doi.org/10.3998/jar.0521004.0065.205
Abrigo de la Cativera	Spain	EM	Layer A	AA-23367	7979	60	wood charcoal	n/d	-7054	-6692	1.33365	41.185513	Garcia-Martinez de Lagran et al. 2016	https://doi.org/10.1016/j.quaint.2015.06.050
Espeluche-Lalo	France	EN	St. 76	AA-32638	6560	85	n/a	n/a	-5638	-5333	4.81722	44.541	Beeching et al. 2000	Beeching00
Espeluche-Lalo	France	EN	St. 73	AA-32639	6520	65	n/a	n/a	-5619	-5361	4.81722	44.541	Beeching et al. 2000	Beeching00
Espeluche-Lalo	France	EN	St. 120	AA-32641	6585	60	n/a	n/a	-5630	-5391	4.81722	44.541	Beeching et al. 2000	Beeching00
Espeluche-Lalo	France	LM	St. 8	AA-32642	7315	65	n/a	n/a	-6369	-6030	4.81722	44.541	Beeching et al. 2000	Beeching00
Espeluche-Lalo	France	EN	St. 8	AA-32644	6220	60	n/a	n/a	-5311	-5011	4.81722	44.541	Beeching et al. 2000	Beeching00
Abri du Monte Leone	France	MM	US 20	AA-35788	7930	85	wood charcoal	n/d	-7057	-6604	9.184647	41.387823	Costa 2004	https://doi.org/10.3406/galip.2004.2043
Baume d'Oullins	France	EN	Layer 6B	AA-53291	6233	64	animal bone	Capra hircus	-5321	-5007	4.456943	44.342326	Garcia-Puchol & Salazar-Garcia 2017	https://doi.org/10.1007/978-3-319-52939-4
Baume d'Oullins	France	EN	Layer 5	AA-53292	6210	69	animal bone	Capra hircus	-5321	-4960	4.456943	44.342326	Garcia-Puchol & Salazar-Garcia 2017	https://doi.org/10.1007/978-3-319-52939-4
Baume d'Oullins	France	EN	Layer 5	AA-53293	6168	63	animal bone	Capra hircus	-5301	-4944	4.456943	44.342326	Garcia-Puchol & Salazar-Garcia 2017	https://doi.org/10.1007/978-3-319-52939-4
Baume d'Oullins	France	EN	Layer 6A	AA-53294	6233	64	animal bone	Capra hircus	-5321	-5007	4.456943	44.342326	Garcia-Puchol & Salazar-Garcia 2017	https://doi.org/10.1007/978-3-319-52939-4
Baume d'Oullins	France	EN	Layer 6	AA-53295	6363	65	animal bone	Capra hircus	-5474	-5216	4.456943	44.342326	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
