DateID;LabID;OthLabID;Problems;CRA;Error;DC13;Material;Species;SiteID;SiteName;SiteContext;SiteType;Country;Longitude;Latitude;LocQual;Source;Comments
1;A-11802;NA;NA;8625;85;-23;NA;NA;22;Ain Abu Nukhayla;"Level 9; locus 2";settlement;JO;35,4053;29.5619;A;"Henry et al.  2002; Flohr et al. 2016";NA
2;A-11803;NA;NA;8465;120;-24,1;wood;NA;22;Ain Abu Nukhayla;"locus 5, level 12; Level 12; locus 5";settlement;JO;35.4053;29.5619;A;"Henry et al. 2003; Benz 2014; CalPal; Flohr et al. 2016";NA
3;A-11804;NA;NA;8565;55;-24,3;wood;NA;22;Ain Abu Nukhayla;"locus 20, level 7; Level 7; locus 20";settlement;JO;35.4053;29.5619;A;"Henry et al. 2003; Benz 2014; CalPal; Flohr et al. 2016";NA
4;A-11805;NA;NA;8370;80;-24,4;wood;NA;22;Ain Abu Nukhayla;"locus 20, level 10/11; Level 10/11; locus 20";settlement;JO;35.4053;29.5619;A;"Henry et al. 2003; Benz 2014; Flohr et al. 2016";NA
5;A-11806;NA;NA;8610;95;-25,4;wood;NA;22;Ain Abu Nukhayla;"locus 22, level 15; Level 15; locus 22";settlement;JO;35.4053;29.5619;A;"Henry et al. 2003; Benz 2014; Flohr et al. 2016";NA
6;A-11807;NA;NA;8410;80;-25,6;wood;NA;22;Ain Abu Nukhayla;"locus 25, level 13; Level 13; locus 25";settlement;JO;35.4053;29.5619;A;"Henry et al. 2003; Benz 2014; Flohr et al. 2016";NA
7;A-12281;NA;NA;4830;185;-22,2;charcoal;NA;22;Ain Abu Nukhayla;NA;settlement;JO;35.4053;29.5619;A;"Henry et al. 2002; CalPal";NA
8;A-25314;NA;NA;2705;35;NA;charcoal;NA;1489;Khirbat en-Nahas;"L,74-B.1659; copper industrial waste; Stratum: A-2B";settlement;JO;35.4361;30.6805;A;"van Der Plicht et al. 2009; Hinz et al. 2012: http://radon-b.ufg.uni-kiel.de/samples/7537";NA
9;AA-100554;NA;NA;1524;38;NA;seed;Triticum;303285;Dhiban;NA;settlement;JO;35,776577;31.501779;A;Farahani 2018;NA
10;AA-100557;NA;NA;1918;45;NA;seed;Hordeum;303285;Dhiban;NA;settlement;JO;35,776577;31.501779;A;Farahani 2018;NA
11;AA-100558;NA;NA;1963;39;NA;seed;Triticum;303285;Dhiban;NA;settlement;JO;35,776577;31.501779;A;Farahani 2018;NA
12;AA-100559;NA;NA;2837;41;NA;seed;Hordeum;303285;Dhiban;NA;settlement;JO;35,776577;31.501779;A;Farahani 2018;NA
13;AA-100674;NA;NA;9650;60;NA;charcoal;NA;2948;Aşıklı Höyük;phase 3, Trench 2J, Unit 551, Feature 332, Building 18,  h=9,01 m;settlement;TR;34.2298;38.3492;A;Brami and Zanotti 2015;NA
14;AA-100684;NA;NA;8820;50;NA;dung;NA;2948;Aşıklı Höyük;phase 3/4, Trench 4GH, Unit 249, Feature nd, h=8,52 m;settlement;TR;34.2298;38.3492;A;Brami and Zanotti 2015;NA
15;AA-100687;NA;NA;9050;50;NA;charcoal;NA;2948;Aşıklı Höyük;phase 4, Trench 4GH, Unit 227, Feature 73, h=11,46 m;settlement;TR;34.2298;38.3492;A;Brami and Zanotti 2015;NA
16;AA-100690;NA;NA;8960;50;NA;charcoal;NA;2948;Aşıklı Höyük;phase 4, Trench 4GH, Unit 255, Feature 84, Building 1, h=10,73 m;settlement;TR;34.2298;38.3492;A;Brami and Zanotti 2015;NA
17;AA-101119;NA;NA;2513;35;NA;charcoal;NA;303318;Tsaghkahovit;fill, Locus 31;settlement;AM;44,223056;40.636111;A;"AraGATS database; Manning et al. 2018";NA
18;AA-101168;NA;NA;9120;50;NA;charcoal;NA;2948;Aşıklı Höyük;phase 4, Trench 4GH, Unit 251, Feature nd, h=11,69 m;settlement;TR;34.2298;38.3492;A;Brami and Zanotti 2015;NA
19;AA-101170;NA;NA;9600;50;NA;charcoal;NA;2948;Aşıklı Höyük;phase 3, Trench 4GH, Unit 584, Feature nd, h=11,67 m;settlement;TR;34.2298;38.3492;A;Brami and Zanotti 2015;NA
